"S. W. A. Naqvi"	"authorOf"	"44fa19d6-6856-4761-bb91-942a71f9e807"
"Matthew P. Reynolds"	"authorOf"	"90b57182-a12b-496c-ab33-666b9033c1e1"
"Maria Auxilia T. Siringan"	"authorOf"	"f8a06c8d-938d-4bcc-8af8-d766cf4f7169"
"Gerard Dericks"	"authorOf"	"df8f0224-0854-454d-bb2d-6ce3e21e83e9"
"Richard Shine"	"authorOf"	"4af45a60-18c4-4812-80e6-7fa8c05066cb"
"E.F. Moore"	"authorOf"	"3fb81dd0-2b0e-4a4a-946c-a2aa8222e184"
"J. Vernon Henderson"	"authorOf"	"87ff2e4d-b0e8-47dd-8795-0b5d8f9f6fab"
"Sanjeev Sharma"	"authorOf"	"18f03a54-d0e1-4de9-a3ad-709365b3133f"
"Yehuda Akiva Barukh"	"authorOf"	"63194d30-25e9-4d08-8097-aff7dad58fec"
"Robert J. Whelan"	"authorOf"	"91f2d7fb-7b16-473f-9682-11670e62935a"
"Sandra McNally"	"authorOf"	"9225529c-605d-4153-a910-0476c3705f7a"
"Pablo Lavado"	"authorOf"	"96dddd88-751d-44ae-a436-e3082e1e90da"
"Claudia Steinwender"	"authorOf"	"04b3bbc4-4957-4154-b03b-b1b9dff8643a"
"Martin Wolf"	"authorOf"	"523105bf-2a7b-4479-9423-8f05156e8576"
"Ian Parker"	"authorOf"	"3033c576-0537-459f-874c-f178d94d5242"
"John Van Reenen"	"authorOf"	"3aab3cec-21a0-4157-b55e-816de5717902"
"Kurt Christian Kersebaum"	"authorOf"	"e9d62a2d-ddd1-463d-bce9-f0a637b3d90b"
"A. Kar"	"authorOf"	"bf8db967-2e48-4311-a571-df1636833b29"
"Sarah Ball"	"authorOf"	"c3aad67c-ef8a-4a34-a755-8ef3976e5acf"
"Adam J. Levitin"	"authorOf"	"d5410d48-506a-4dd5-8466-d889bc8f453d"
"Anders C. Johansson"	"authorOf"	"55a9abd7-0ed5-4f9d-94cf-01cc3311302b"
"Simona Simoncelli"	"authorOf"	"785e0767-da94-4037-9d82-1a57e481242c"
"D Parsons"	"authorOf"	"e0d0e98b-89d5-400a-a8c2-df038f3af812"
"Bruce Nissen"	"authorOf"	"90aca4b2-5508-4b7c-ab78-d2ac453d15cc"
"Shannon R. Lane"	"authorOf"	"73c09370-d9d6-4831-a817-5fb8a0a7248d"
"Shiguang Wang"	"authorOf"	"fe26a11a-1ad5-44d4-9c73-eba9f023cd69"
"Paul Collins"	"authorOf"	"aded2e94-4672-44ba-905b-6ae025555004"
"Helen Berry"	"authorOf"	"ae8bf253-4491-40cb-a66e-e1375596634d"
"María I. Trucco"	"authorOf"	"2dd0dd6f-fc24-4f20-93ac-da3349ef83f2"
"Magda Wilewska-Bien"	"authorOf"	"54a3790d-38d7-40a6-a4e3-e3376e94a967"
"John Stolle-McAllister"	"authorOf"	"766f8eb3-6c97-4749-a026-4413e2aa12ce"
"Alison Hills"	"authorOf"	"9db4f830-e0d4-4c9b-a018-d89d04079417"
"James S. Maki"	"authorOf"	"052be150-1559-49eb-aa23-0051c027048e"
"Matthew A. Turner"	"authorOf"	"6c78eb32-aec3-4c78-bb3b-8f9c5f14f9df"
"Henry G. Overman"	"authorOf"	"56e458be-fea5-47af-98cc-76775553aaf3"
"J Salinger"	"authorOf"	"d99dd8f5-e02b-4bca-b10f-2bceba147aa6"
"Peter Nilsson"	"authorOf"	"c5550d3c-3572-4918-9bc8-bf4345eb4645"
